,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",suicides_no,population,Status,Life expectancy ,Adult Mortality,infant deaths,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
0,Argentina,2015,6.69713068,9.85751152,0.926492274,67.25832367,0.881223679,-0.174311623,0.850906193,0.858544469,0.305354923,0.378169239,0.213269234,-0.57605058,1.953586936,0.291705072,,0.476066667,0.346246392,3073,39699624,Developing,76.3,116.0,8.0,94.0,0.0,62.8,9.0,93.0,94.0,0.1,13467.1236,1.0,0.9,0.826,17.3
1,Armenia,2015,4.34831953,9.011393547,0.722551048,64.79977417,0.551026642,-0.190980658,0.901462197,0.594142795,0.43794772,0.170927867,-0.394301742,-0.210141867,2.237643719,0.514599681,0.324,0.325066667,0.377615452,74,2795335,Developing,74.8,118.0,1.0,94.0,33.0,54.9,1.0,96.0,94.0,0.1,369.654776,2.1,2.2,0.741,12.7
2,Australia,2015,7.309060574,10.68812943,0.95186156,72.51734161,0.921871006,0.316794217,0.356554389,0.790050209,0.209636971,0.478556842,1.120239854,1.765201688,1.686917663,0.230798155,,0.34275,0.416127056,3027,22240785,Developed,82.8,59.0,1.0,93.0,74.0,66.6,1.0,93.0,93.0,0.1,56554.3876,0.6,0.6,0.937,20.4
3,Austria,2015,7.07644701,10.69849014,0.928110301,71.73971558,0.900305152,0.090249822,0.55747962,0.798262954,0.164469033,0.454789877,1.263259649,1.564293861,1.762816906,0.249110445,,0.303818182,0.319265366,1251,8219386,Developed,81.5,65.0,0.0,93.0,309.0,57.6,0.0,93.0,93.0,0.1,43665.947,1.9,2.1,0.892,15.9
4,Belgium,2015,6.904219151,10.63880634,0.885208845,72.14292908,0.869474947,0.053085301,0.46878463,0.80517751,0.239958704,0.459024221,0.987220705,1.440813422,1.511810899,0.218969136,,0.285181818,0.403824568,1867,10624356,Developed,81.1,74.0,0.0,98.0,47.0,63.7,1.0,99.0,99.0,0.1,4356.875,1.0,1.0,0.895,16.6
5,Brazil,2015,6.546896935,9.593288422,0.906693101,65.03707886,0.798935294,-0.028626448,0.771339059,0.755194008,0.324699104,0.198534787,0.063678071,-0.230050251,2.257858753,0.34487465,0.513,0.550214286,0.370239496,11163,191087085,Developing,75.0,142.0,42.0,96.0,214.0,56.1,47.0,98.0,96.0,0.1,8757.2622,2.7,2.6,0.754,15.2
6,Chile,2015,6.532749653,10.02289677,0.827141881,69.26559448,0.76888144,0.02641842,0.811511338,0.803024709,0.332746744,0.300492525,0.718928695,1.263902068,1.938147187,0.296681672,0.477,0.491571429,0.392625511,1838,16565725,Developing,85.0,82.0,2.0,97.0,9.0,63.8,2.0,96.0,96.0,0.1,13653.2264,0.8,0.8,0.845,16.3
7,Colombia,2015,6.387571812,9.471579552,0.889900029,63.83065033,0.790897965,-0.107767858,0.842899323,0.839294553,0.291769385,0.271786749,-0.532614708,-0.034292392,2.246151209,0.35164398,0.511,0.5525,0.477427602,2332,44490427,Developing,74.8,143.0,10.0,91.0,1.0,57.9,12.0,91.0,91.0,0.1,644.525556,2.1,1.9,0.724,13.6
8,Croatia,2015,5.205438137,9.940731049,0.768363416,67.3684845,0.693523049,-0.1018674,0.848545551,0.608886182,0.294019341,0.364868402,0.573095977,0.330905825,1.785050154,0.342920244,,0.323333333,0.321699649,739,4001669,Developed,78.0,95.0,0.0,94.0,206.0,63.7,0.0,94.0,94.0,0.1,11579.6674,1.5,1.4,0.823,15.3
9,Cyprus,2015,5.439161301,10.3216238,0.769556105,72.4577713,0.62803483,0.10322655,0.892795146,0.746730089,0.383106411,0.203454718,0.791189313,1.039629698,2.402444124,0.441693842,,0.324909091,0.417794615,40,796037,Developed,85.0,52.0,0.0,97.0,0.0,6.3,0.0,97.0,97.0,0.1,2375.1127,1.0,1.0,0.854,14.3
10,Czech Republic,2015,6.608017445,10.32893276,0.911362588,70.30318451,0.808484197,-0.153370976,0.886467457,0.750773847,0.206080526,0.435425878,1.010938764,0.931855083,1.802234173,0.272734463,,0.264727273,0.265170455,1387,9989325,,,,,,,,,,,,,,,,
11,Denmark,2015,7.514424801,10.72455978,0.9597013,70.96250153,0.94143641,0.211225361,0.191016391,0.829217494,0.217577577,0.579888642,1.225186348,1.959059715,1.61830771,0.215360165,,0.267090909,0.537219882,564,5383060,Developed,86.0,71.0,0.0,,9.0,58.8,0.0,93.0,93.0,0.1,5314.64416,1.1,0.9,0.923,19.2
12,Ecuador,2015,5.964075089,9.282580376,0.855889201,66.95172882,0.800870478,-0.119744293,0.665827513,0.850546062,0.322946101,0.522347212,-0.177853748,-0.824943721,2.470919371,0.414300501,0.465,0.505928571,0.36206609,1073,14534024,Developing,76.2,118.0,6.0,78.0,0.0,54.2,7.0,84.0,78.0,0.1,625.62224,1.2,1.1,0.739,14.0
13,Estonia,2015,5.628908634,10.22374249,0.917929649,67.11460114,0.814692378,-0.1735695,0.568734467,0.72333771,0.182694778,0.3366898,0.90385133,1.3406986,1.893060207,0.336310357,,0.333,0.405378938,195,1243450,Developing,77.6,119.0,0.0,91.0,4.0,59.9,0.0,93.0,93.0,0.1,1774.9291,1.9,1.9,0.863,16.5
14,Finland,2015,7.447925568,10.56838703,0.947800577,71.33779144,0.929861903,0.10091465,0.223369658,0.75131619,0.191057593,0.55760026,1.29203546,1.997026682,1.573618293,0.21128276,,0.275909091,0.45906952,731,5181797,Developing,81.1,76.0,0.0,,2.0,62.1,0.0,97.0,97.0,0.1,4245.39744,0.9,0.8,0.893,17.0
15,Georgia,2015,4.121940613,9.107768059,0.517371595,64.09186554,0.639944971,-0.192947656,0.50241679,0.547279775,0.233192086,0.254327297,-0.095760062,0.56956923,2.048506737,0.496976286,0.385,0.4034375,0.404153734,192,3458400,Developing,74.4,129.0,1.0,94.0,431.0,56.2,1.0,91.0,94.0,0.1,3764.64912,2.7,2.8,0.768,13.9
16,Germany,2015,7.037137508,10.69053364,0.925923228,71.07910156,0.889428854,0.166920766,0.412168294,0.764539361,0.20270516,0.628003657,1.060863018,1.773268819,1.6488446,0.234306157,,0.311571429,0.390182853,10088,78136683,Developed,81.0,68.0,2.0,88.0,2464.0,62.3,3.0,94.0,95.0,0.1,41176.88158,1.1,1.1,0.924,17.1
17,Greece,2015,5.622519016,10.09288025,0.834824681,71.5152359,0.531736314,-0.278119117,0.823959649,0.73975122,0.277412534,0.437318921,0.210621193,0.214091524,2.20959115,0.392989546,,0.346909091,0.309100837,529,10331286,Developing,81.0,72.0,0.0,96.0,1.0,66.5,0.0,99.0,99.0,0.1,187.78991,0.8,0.7,0.865,17.2
