country,year,suicides_no,population,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Albania,2005,0,2783320,Developing,73.5,15.0,1.0,5.16,26.99312143,98.0,6.0,49.9,1.0,97.0,6.12,98.0,0.1,279.142931,1.8,1.8,0.685,10.8
Albania,2006,0,2780176,Developing,74.2,99.0,1.0,5.31,3.3021542,98.0,68.0,5.8,1.0,97.0,5.86,97.0,0.1,35.1293,1.7,1.8,0.696,11.4
Albania,2007,124,2770344,Developing,75.9,9.0,1.0,5.58,32.24655228,98.0,22.0,51.7,1.0,99.0,6.1,98.0,0.1,363.13685,1.6,1.7,0.703,11.6
Albania,2008,160,2757059,Developing,75.3,1.0,1.0,5.61,36.62206845,99.0,0.0,52.6,1.0,99.0,5.87,99.0,0.1,437.539647,1.6,1.6,0.713,12.0
Albania,2009,0,2745735,Developing,76.1,91.0,1.0,5.79,348.0559517,98.0,0.0,53.5,1.0,98.0,5.79,98.0,0.1,4114.136545,1.5,1.6,0.721,12.2
Albania,2010,96,2736025,Developing,76.2,91.0,1.0,5.28,41.82275719,99.0,10.0,54.3,1.0,99.0,5.34,99.0,0.1,494.358832,1.4,1.5,0.725,12.5
Antigua and Barbuda,2005,0,80809,Developing,74.6,147.0,0.0,8.15,1455.608186,99.0,0.0,41.4,0.0,98.0,4.41,99.0,0.1,11371.93895,3.5,3.4,0.0,0.0
Antigua and Barbuda,2006,0,81973,Developing,74.8,145.0,0.0,8.93,216.3146941,99.0,0.0,42.0,0.0,99.0,4.34,99.0,0.1,12724.39377,3.4,3.4,0.773,14.7
Antigua and Barbuda,2007,1,83131,Developing,75.0,144.0,0.0,8.64,257.9665308,97.0,0.0,42.6,0.0,98.0,4.27,99.0,0.1,14252.29452,3.4,3.3,0.781,14.5
Antigua and Barbuda,2008,0,84273,Developing,75.2,142.0,0.0,8.27,180.7762695,98.0,0.0,43.2,0.0,99.0,4.69,99.0,0.1,1473.31923,3.4,3.3,0.786,14.4
Antigua and Barbuda,2009,0,85405,Developing,75.4,14.0,0.0,7.82,149.3587355,98.0,0.0,43.8,0.0,98.0,4.86,99.0,0.1,1312.46692,3.4,3.3,0.788,14.2
Antigua and Barbuda,2012,0,88703,Developing,75.9,134.0,0.0,8.18,2156.229842,98.0,0.0,45.7,0.0,97.0,5.39,98.0,0.2,12565.44197,3.3,3.3,0.778,13.8
Antigua and Barbuda,2013,0,89779,Developing,76.1,133.0,0.0,8.58,1991.430372,99.0,0.0,46.4,0.0,98.0,5.33,99.0,0.2,12224.86416,3.3,3.3,0.781,13.9
Antigua and Barbuda,2014,0,90837,Developing,76.2,131.0,0.0,8.56,2422.999774,99.0,0.0,47.0,0.0,96.0,5.54,99.0,0.2,12888.29667,3.3,3.3,0.782,13.9
Antigua and Barbuda,2015,1,91889,Developing,76.4,13.0,0.0,,0.0,99.0,0.0,47.7,0.0,86.0,,99.0,0.2,13566.9541,3.3,3.3,0.784,13.9
Argentina,2005,3058,35550617,Developing,74.9,127.0,11.0,7.53,96.16653429,88.0,0.0,56.9,12.0,95.0,6.85,98.0,0.1,576.883829,1.1,1.0,0.78,16.3
Argentina,2006,3108,35918886,Developing,75.2,127.0,11.0,7.75,961.1774676,84.0,0.0,57.5,12.0,92.0,6.68,91.0,0.1,5878.76127,1.1,0.9,0.782,16.1
Argentina,2007,2946,36315492,Developing,74.8,129.0,10.0,8.16,1105.659031,85.0,0.0,58.0,12.0,92.0,6.49,91.0,0.1,7193.61764,1.1,0.9,0.788,16.3
Argentina,2008,3059,36733520,Developing,75.4,126.0,10.0,8.41,1413.73543,9.0,0.0,58.6,11.0,94.0,6.66,93.0,0.1,8953.359275,1.0,0.9,0.792,16.3
Argentina,2009,2884,37158001,Developing,75.6,126.0,10.0,8.33,1398.042623,94.0,3.0,59.2,11.0,97.0,7.63,94.0,0.1,8161.36966,1.0,0.9,0.794,16.5
Argentina,2010,2943,37578454,Developing,75.5,121.0,10.0,8.15,187.610955,94.0,17.0,59.8,11.0,95.0,6.55,94.0,0.1,1276.265,1.0,0.9,0.802,16.8
Argentina,2011,2912,38015739,Developing,75.7,12.0,9.0,8.11,1504.329462,91.0,3.0,6.4,10.0,93.0,5.89,91.0,0.1,12726.9836,1.0,0.9,0.816,17.1
Argentina,2012,3248,38441778,Developing,75.9,12.0,9.0,8.35,1133.558003,91.0,2.0,61.0,10.0,99.0,5.2,91.0,0.1,12969.7712,1.0,0.9,0.822,17.2
Argentina,2013,2987,38859125,Developing,76.0,119.0,8.0,8.28,1001.796332,94.0,0.0,61.6,10.0,99.0,4.99,94.0,0.1,12976.63642,1.0,0.9,0.823,17.3
Argentina,2014,3231,39276555,Developing,76.2,118.0,8.0,7.93,847.3717463,94.0,1.0,62.2,9.0,92.0,4.79,94.0,0.1,12245.25645,1.0,0.9,0.825,17.3
Argentina,2015,3073,39699624,Developing,76.3,116.0,8.0,,0.0,94.0,0.0,62.8,9.0,93.0,,94.0,0.1,13467.1236,1.0,0.9,0.826,17.3
Armenia,2006,78,2764396,Developing,72.9,141.0,1.0,4.01,244.5352767,78.0,137.0,49.2,1.0,87.0,4.58,87.0,0.1,2158.299,2.0,2.1,0.692,11.2
Armenia,2007,71,2735313,Developing,73.5,132.0,1.0,3.99,44.57219966,85.0,1.0,49.7,1.0,9.0,4.31,88.0,0.1,3138.8873,2.0,2.1,0.707,11.7
Armenia,2008,63,3045391,Developing,73.2,14.0,1.0,3.96,2.8888979,89.0,0.0,5.1,1.0,91.0,3.8,89.0,0.1,41.26997,2.0,2.1,0.721,12.3
Armenia,2009,53,2689695,Developing,73.3,137.0,1.0,3.96,201.1855461,93.0,0.0,5.7,1.0,94.0,4.55,93.0,0.1,2993.832531,2.0,2.1,0.725,11.9
Armenia,2010,73,2676225,Developing,73.5,132.0,1.0,4.23,224.3212014,94.0,2.0,51.2,1.0,96.0,4.56,94.0,0.1,3218.381655,2.0,2.1,0.72,12.3
Armenia,2011,67,2670366,Developing,73.9,128.0,1.0,4.09,260.9963826,95.0,0.0,51.9,1.0,96.0,3.71,95.0,0.1,3526.978143,2.0,2.1,0.729,12.7
Armenia,2012,79,2814300,Developing,74.4,121.0,1.0,3.89,274.1526986,95.0,0.0,52.6,1.0,96.0,4.48,95.0,0.1,3684.8481,2.0,2.1,0.732,12.7
Armenia,2013,67,2810664,Developing,74.4,123.0,1.0,3.79,279.4290812,95.0,10.0,53.3,1.0,96.0,4.55,95.0,0.1,3843.591213,2.1,2.1,0.736,12.7
Armenia,2014,58,2803029,Developing,74.6,12.0,1.0,3.91,295.6087143,93.0,13.0,54.1,1.0,95.0,4.48,93.0,0.1,3994.712355,2.1,2.1,0.739,12.7
Armenia,2015,74,2795335,Developing,74.8,118.0,1.0,,0.0,94.0,33.0,54.9,1.0,96.0,,94.0,0.1,369.654776,2.1,2.2,0.741,12.7
Australia,2006,2117,19109246,Developed,81.2,66.0,1.0,10.31,6187.062017,95.0,0.0,62.0,2.0,92.0,8.49,92.0,0.1,36118.28381,0.7,0.6,0.915,20.3
Australia,2007,2229,19734430,Developed,81.3,66.0,1.0,10.56,872.5986092,94.0,11.0,62.5,2.0,92.0,8.53,92.0,0.1,4991.98289,0.7,0.6,0.918,19.0
